,Participant 1,Participant 2,Participant 3
2017-02-26 03:30:00,0.265,0.265,0.265
2017-02-26 04:00:00,0.158,0.158,0.158
2017-02-26 04:30:00,0.168,0.168,0.168
2017-02-26 05:00:00,0.168,0.168,0.168
2017-02-26 05:30:00,0.17,0.17,0.17
2017-02-26 06:00:00,0.429446995,0.429446995,0.429446995
2017-02-26 06:30:00,0.131476959,0.131476959,0.131476959
2017-02-26 07:00:00,0.094555574,0.094555574,0.094555574
2017-02-26 07:30:00,0.06327762900000002,0.06327762900000002,0.06327762900000002
2017-02-26 08:00:00,0.032122241999999995,0.032122241999999995,0.032122241999999995
2017-02-26 08:30:00,0.014353504000000017,0.014353504000000017,0.014353504000000017
2017-02-26 09:00:00,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,0.0
2017-02-26 13:00:00,0.183995608,0.183995608,0.183995608
2017-02-26 13:30:00,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0
2017-02-26 15:00:00,0.019899248000000036,0.019899248000000036,0.019899248000000036
2017-02-26 15:30:00,0.02661933800000002,0.02661933800000002,0.02661933800000002
2017-02-26 16:00:00,0.028310119000000022,0.028310119000000022,0.028310119000000022
2017-02-26 16:30:00,0.051943661,0.051943661,0.051943661
2017-02-26 17:00:00,0.09085706200000002,0.09085706200000002,0.09085706200000002
2017-02-26 17:30:00,0.13141410999999997,0.13141410999999997,0.13141410999999997
2017-02-26 18:00:00,0.15619571000000002,0.15619571000000002,0.15619571000000002
2017-02-26 18:30:00,0.208703424,0.208703424,0.208703424
2017-02-26 19:00:00,0.268,0.268,0.268
2017-02-26 19:30:00,0.268,0.268,0.268
2017-02-26 20:00:00,0.54,0.54,0.54
2017-02-26 20:30:00,0.273,0.273,0.273
2017-02-26 21:00:00,0.273,0.273,0.273
2017-02-26 21:30:00,0.275,0.275,0.275
2017-02-26 22:00:00,0.275,0.275,0.275
2017-02-26 22:30:00,0.263,0.263,0.263
2017-02-26 23:00:00,0.263,0.263,0.263
2017-02-26 23:30:00,0.265,0.265,0.265
2017-02-27 00:00:00,0.278,0.278,0.278
2017-02-27 00:30:00,0.27,0.27,0.27
2017-02-27 01:00:00,0.273,0.273,0.273
2017-02-27 01:30:00,0.26,0.26,0.26
2017-02-27 02:00:00,0.255,0.255,0.255
2017-02-27 02:30:00,0.527,0.527,0.527
2017-02-27 03:00:00,0.265,0.265,0.265
2017-02-27 03:30:00,0.263,0.263,0.263
2017-02-27 04:00:00,0.168,0.168,0.168
2017-02-27 04:30:00,0.16,0.16,0.16
2017-02-27 05:00:00,0.153,0.153,0.153
2017-02-27 05:30:00,0.158,0.158,0.158
2017-02-27 06:00:00,0.16411292500000002,0.16411292500000002,0.16411292500000002
2017-02-27 06:30:00,0.156696054,0.156696054,0.156696054
2017-02-27 07:00:00,1.625602411,1.625602411,1.625602411
2017-02-27 07:30:00,3.882617558,3.882617558,3.882617558
2017-02-27 08:00:00,7.089711917999999,7.089711917999999,7.089711917999999
2017-02-27 08:30:00,6.377529924,6.377529924,6.377529924
2017-02-27 09:00:00,6.425616905,6.425616905,6.425616905
2017-02-27 09:30:00,7.4351349110000005,7.4351349110000005,7.4351349110000005
2017-02-27 10:00:00,10.303087902,10.303087902,10.303087902
2017-02-27 10:30:00,11.360678576,11.360678576,11.360678576
2017-02-27 11:00:00,4.873359014,4.873359014,4.873359014
2017-02-27 11:30:00,11.749434012,11.749434012,11.749434012
2017-02-27 12:00:00,10.038452865999998,10.038452865999998,10.038452865999998
2017-02-27 12:30:00,6.900568603,6.900568603,6.900568603
2017-02-27 13:00:00,6.949500712,6.949500712,6.949500712
2017-02-27 13:30:00,6.36714175,6.36714175,6.36714175
2017-02-27 14:00:00,5.690642865,5.690642865,5.690642865
2017-02-27 14:30:00,5.7484185750000005,5.7484185750000005,5.7484185750000005
2017-02-27 15:00:00,5.030007574,5.030007574,5.030007574
2017-02-27 15:30:00,4.836765547,4.836765547,4.836765547
2017-02-27 16:00:00,0.157122798,0.157122798,0.157122798
2017-02-27 16:30:00,0.04429408400000001,0.04429408400000001,0.04429408400000001
2017-02-27 17:00:00,0.077928638,0.077928638,0.077928638
2017-02-27 17:30:00,0.10751049099999999,0.10751049099999999,0.10751049099999999
2017-02-27 18:00:00,0.11834733900000001,0.11834733900000001,0.11834733900000001
2017-02-27 18:30:00,0.22306643,0.22306643,0.22306643
2017-02-27 19:00:00,0.245,0.245,0.245
2017-02-27 19:30:00,0.245,0.245,0.245
2017-02-27 20:00:00,0.508,0.508,0.508
2017-02-27 20:30:00,0.233,0.233,0.233
2017-02-27 21:00:00,0.245,0.245,0.245
2017-02-27 21:30:00,0.248,0.248,0.248
2017-02-27 22:00:00,0.235,0.235,0.235
2017-02-27 22:30:00,0.225,0.225,0.225
2017-02-27 23:00:00,0.248,0.248,0.248
2017-02-27 23:30:00,0.245,0.245,0.245
2017-02-28 00:00:00,0.245,0.245,0.245
2017-02-28 00:30:00,0.233,0.233,0.233
2017-02-28 01:00:00,0.23800000000000002,0.23800000000000002,0.23800000000000002
2017-02-28 01:30:00,0.255,0.255,0.255
2017-02-28 02:00:00,0.508,0.508,0.508
2017-02-28 02:30:00,0.223,0.223,0.223
2017-02-28 03:00:00,0.242,0.242,0.242
2017-02-28 03:30:00,0.24,0.24,0.24
2017-02-28 04:00:00,0.133,0.133,0.133
2017-02-28 04:30:00,0.125,0.125,0.125
2017-02-28 05:00:00,0.14,0.14,0.14
2017-02-28 05:30:00,0.147,0.147,0.147
2017-02-28 06:00:00,0.129076922,0.129076922,0.129076922
2017-02-28 06:30:00,0.111622659,0.111622659,0.111622659
2017-02-28 07:00:00,1.765588682,1.765588682,1.765588682
2017-02-28 07:30:00,2.447268974,2.447268974,2.447268974
2017-02-28 08:00:00,4.248267745,4.248267745,4.248267745
2017-02-28 08:30:00,5.935059364,5.935059364,5.935059364
2017-02-28 09:00:00,5.332152014,5.332152014,5.332152014
2017-02-28 09:30:00,5.510668643000001,5.510668643000001,5.510668643000001
2017-02-28 10:00:00,9.32268414,9.32268414,9.32268414
2017-02-28 10:30:00,10.756349304999999,10.756349304999999,10.756349304999999
2017-02-28 11:00:00,6.847162877,6.847162877,6.847162877
2017-02-28 11:30:00,4.781280725,4.781280725,4.781280725
2017-02-28 12:00:00,7.2677935840000005,7.2677935840000005,7.2677935840000005
2017-02-28 12:30:00,2.87687014,2.87687014,2.87687014
2017-02-28 13:00:00,6.9925113119999995,6.9925113119999995,6.9925113119999995
2017-02-28 13:30:00,8.998125394999999,8.998125394999999,8.998125394999999
2017-02-28 14:00:00,8.821105108000001,8.821105108000001,8.821105108000001
2017-02-28 14:30:00,5.165869795999999,5.165869795999999,5.165869795999999
2017-02-28 15:00:00,4.171696592,4.171696592,4.171696592
2017-02-28 15:30:00,2.3457105140000003,2.3457105140000003,2.3457105140000003
2017-02-28 16:00:00,0.256945749,0.256945749,0.256945749
2017-02-28 16:30:00,0.230292159,0.230292159,0.230292159
2017-02-28 17:00:00,0.06136209400000002,0.06136209400000002,0.06136209400000002
2017-02-28 17:30:00,0.105123458,0.105123458,0.105123458
2017-02-28 18:00:00,0.121173765,0.121173765,0.121173765
2017-02-28 18:30:00,0.16438012800000001,0.16438012800000001,0.16438012800000001
2017-02-28 19:00:00,0.205,0.205,0.205
2017-02-28 19:30:00,0.223,0.223,0.223
2017-02-28 20:00:00,0.225,0.225,0.225
2017-02-28 20:30:00,0.225,0.225,0.225
2017-02-28 21:00:00,0.212,0.212,0.212
2017-02-28 21:30:00,0.223,0.223,0.223
2017-02-28 22:00:00,0.228,0.228,0.228
2017-02-28 22:30:00,0.22,0.22,0.22
2017-02-28 23:00:00,0.478,0.478,0.478
